,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kapaa,40,US,1552880299,53,22.08,-159.32,23.0,8.2
1,Inverness,76,GB,1552880405,86,57.48,-4.23,2.78,3.6
2,Bluff,8,AU,1552880441,78,-23.58,149.07,29.32,1.95
3,San Vicente,20,SV,1552880424,61,13.64,-88.78,27.0,1.5
4,Cidreira,68,BR,1552880442,91,-30.17,-50.22,22.77,5.95
5,Taoudenni,0,ML,1552880443,21,22.68,-3.98,11.92,1.95
6,Saint George,0,GR,1552879997,93,39.45,22.34,12.22,0.75
7,Rikitea,80,PF,1552880443,100,-23.12,-134.97,25.97,9.6
8,Acapulco,40,MX,1552877040,88,16.86,-99.88,27.0,2.1
9,Mataura,44,NZ,1552880443,62,-46.19,168.86,22.07,4.0
10,Hermanus,56,ZA,1552879852,92,-34.42,19.24,17.22,1.4
11,Jamestown,0,AU,1552880231,85,-33.21,138.6,25.12,1.95
12,Zlobin,75,HR,1552880420,82,45.29,14.65,13.0,6.2
13,Bethel,40,US,1552877760,85,60.79,-161.76,-3.0,4.6
14,Kodiak,90,US,1552880422,38,39.95,-94.76,6.67,2.1
15,Fountain Hills,1,US,1552880187,37,33.61,-111.72,22.0,1.5
16,Hobart,75,AU,1552880356,49,-42.88,147.33,21.67,4.1
17,Cape Town,20,ZA,1552880166,93,-33.93,18.42,21.67,6.2
18,Crestview,75,US,1552880209,71,30.76,-86.57,13.33,2.4
19,New Norfolk,75,AU,1552880415,49,-42.78,147.06,21.67,4.1
20,Bermejo,100,AR,1552880446,99,-22.73,-64.34,19.77,1.45
21,Busselton,48,AU,1552880426,30,-33.64,115.35,31.11,3.75
22,Kloulklubed,90,PW,1552877640,83,7.04,134.26,28.0,2.6
23,Ushuaia,90,AR,1552878000,87,-54.81,-68.31,7.0,9.8
24,Yellowknife,20,CA,1552880293,63,62.45,-114.38,-0.57,2.1
25,Aykhal,32,RU,1552880447,76,65.95,111.51,-18.63,1.8
26,Punta Arenas,0,CL,1552879987,81,-53.16,-70.91,9.0,12.3
27,Bambous Virieux,75,MU,1552880344,94,-20.34,57.76,25.56,1.5
28,Ambon,0,FR,1552880425,86,47.55,-2.56,8.89,4.1
29,Qom,80,IR,1552880448,88,34.64,50.88,6.77,9.35
30,Ribeira Grande,0,PT,1552880448,95,38.52,-28.7,16.27,4.0
31,Atasu,20,KZ,1552880449,80,48.68,71.64,-6.23,6.3
32,Sembakung,40,ID,1552878000,66,3.82,117.25,30.0,3.1
33,Honningsvag,0,NO,1552880449,100,70.98,25.97,-3.73,5.7
34,Nikolskoye,90,RU,1552880435,93,59.7,30.79,2.78,5.0
35,Albany,40,US,1552880225,42,42.65,-73.75,-1.67,2.15
36,Hasaki,20,JP,1552880075,35,35.73,140.83,15.0,4.6
37,Nyurba,48,RU,1552880450,62,63.29,118.35,-12.63,1.7
38,Ponta do Sol,8,BR,1552880450,91,-20.63,-46.0,20.02,1.3
39,Ancud,90,CL,1552878000,87,-41.87,-73.83,10.0,3.2
40,Neiafu,75,TO,1552878000,83,-18.65,-173.98,27.0,1.25
41,Norman Wells,75,CA,1552878000,39,65.28,-126.83,8.0,3.1
42,Griffith,0,AU,1552880417,23,-34.29,146.06,31.0,7.2
43,Lasa,0,CY,1552879823,87,34.92,32.53,11.0,3.6
44,Manggar,68,ID,1552880452,89,-2.88,108.27,29.47,3.25
45,Torbay,90,CA,1552880308,68,47.66,-52.73,-2.78,7.7
46,Guerrero Negro,0,MX,1552880452,72,27.97,-114.04,14.27,3.4
47,Ilulissat,24,GL,1552877400,54,69.22,-51.1,-18.0,6.7
48,Cabra,0,ES,1552880341,81,37.47,-4.43,10.0,1.0
49,Otane,0,NZ,1552879758,62,-39.89,176.62,23.33,1.5
50,Vaini,0,IN,1552878000,31,15.34,74.49,26.0,1.5
51,Makakilo City,75,US,1552879985,47,21.35,-158.09,25.0,5.7
52,Mount Isa,0,AU,1552878000,10,-20.73,139.49,37.0,2.6
53,Den Helder,75,NL,1552880340,81,52.96,4.76,6.11,13.4
54,Puerto Ayora,0,EC,1552879901,92,-0.74,-90.35,24.44,0.89
55,Arraial do Cabo,80,BR,1552880454,96,-22.97,-42.02,26.52,2.85
56,Port Blair,20,IN,1552878000,70,11.67,92.75,30.0,3.6
